,EQ,GOV,IG,HY,COMMO,CASH
31/01/2006,1280.09,367.582,1543.261,525.437,311.2,123.9888
28/02/2006,1280.66,368.218,1549.401,528.759,311.34,124.2156
31/03/2006,1294.83,364.059,1529.878,532.064,313.17,124.4848
30/04/2006,1310.61,362.214,1523.803,535.483,327.39,124.7394
31/05/2006,1270.09,362.201,1522.578,535.145,331.8,125.0345
30/06/2006,1270.2,363.659,1523.722,533.116,337.92,125.3135
31/07/2006,1276.66,368.152,1546.303,538.804,338.41,125.6181
31/08/2006,1303.82,373.958,1575.225,547.522,342.88,125.9386
30/09/2006,1335.85,377.557,1592.341,554.724,344.05,126.247
31/10/2006,1377.94,379.472,1606.073,562.824,351.61,126.6139
30/11/2006,1400.63,383.629,1628.821,571.808,360.05,126.9656
31/12/2006,1418.3,380.283,1614.188,578.103,362.35,127.3232
31/01/2007,1438.24,379.532,1614.715,584.314,361.13,127.7412
28/02/2007,1406.82,386.231,1647.487,592.453,371.99,128.096
31/03/2007,1420.86,385.921,1639.464,593.829,386.91,128.4892
30/04/2007,1482.37,387.938,1651.59,601.687,390.91,128.9132
31/05/2007,1530.62,384.125,1635.237,605.968,400.66,129.3351
30/06/2007,1503.35,383.888,1627.382,595.755,405.2,129.7462
31/07/2007,1455.28,390.387,1632.028,577.048,411.7,130.2164
31/08/2007,1473.99,396.807,1648.098,583.48,405.17,130.6701
30/09/2007,1526.75,398.824,1657.337,597.74,417.74,131.0784
31/10/2007,1549.38,402.073,1675.352,601.359,416.28,131.553
30/11/2007,1481.14,415.085,1690.081,589.053,413.63,131.9956
31/12/2007,1468.36,415.28,1689.135,590.78,413.4,132.4361
31/01/2008,1378.55,426.118,1709.097,582.753,426.88,132.8909
29/02/2008,1330.63,430.918,1710.334,575.834,468.72,133.3235
31/03/2008,1322.7,434.077,1687.63,572.844,450.32,133.7927
30/04/2008,1385.59,426.32,1697.287,596.707,469.88,134.2373
31/05/2008,1400.38,421.081,1681.84,599.263,456,134.6866
30/06/2008,1280,424.619,1675.385,583.206,476.69,135.15
31/07/2008,1267.38,426.35,1660.958,573.859,459.78,135.638
31/08/2008,1282.83,432.159,1672.617,575.711,438.72,136.108
30/09/2008,1166.36,434.763,1549.89,527.942,412.62,136.627
31/10/2008,968.75,433.756,1435.486,441.896,342.56,137.0783
30/11/2008,896.24,458.171,1491.163,404.634,322.57,137.4196
31/12/2008,903.25,474.507,1573.977,434.878,315.08,137.735
31/01/2009,825.88,459.662,1579.219,457.961,321.21,137.9527
28/02/2009,735.09,457.106,1554.622,442.085,311.41,138.0869
31/03/2009,797.87,467.677,1551.403,456.69,320.47,138.2169
30/04/2009,872.81,458.575,1599.245,509.054,338.1,138.3194
31/05/2009,919.14,453.639,1668.573,545.263,361.86,138.4034
30/06/2009,919.32,452.772,1719.217,562.601,360.84,138.4903
31/07/2009,987.48,454.665,1787.088,597.387,371.62,138.5326
31/08/2009,1020.63,459.011,1825.739,609.537,381.52,138.574
30/09/2009,1057.08,462.683,1862.305,645.963,372.37,138.6146
31/10/2009,1036.2,462.473,1877.518,657.502,389.25,138.6561
30/11/2009,1095.63,469.173,1904.089,664.164,414.57,138.699
31/12/2009,1115.1,456.637,1884.995,684.983,421.13,138.7404
31/01/2010,1073.87,463.975,1922.861,695.364,415.49,138.7796
28/02/2010,1104.49,465.849,1930.068,696.441,427.52,138.8158
31/03/2010,1169.43,461.869,1936.763,718.001,431.17,138.859
30/04/2010,1186.69,466.935,1970.805,734.077,444.93,138.8992
31/05/2010,1089.41,475.086,1959.547,708.233,424.86,138.9398
30/06/2010,1030.71,484.081,1999.869,717.467,418.89,138.9794
31/07/2010,1101.6,487.501,2040.8,742.328,438.56,139.0353
31/08/2010,1049.33,497.603,2085.473,743.489,455.07,139.0873
30/09/2010,1141.2,497.739,2097.781,765.563,487.26,139.1368
31/10/2010,1183.26,496.959,2102.186,784.13,490.03,139.2153
30/11/2010,1180.55,493.477,2084.212,775.382,483.96,139.2887
31/12/2010,1257.64,484.448,2064.446,789.035,520.33,139.346
31/01/2011,1286.12,484.35,2069.338,805.624,554.45,139.4257
28/02/2011,1327.22,483.983,2084,816.395,565.78,139.5017
31/03/2011,1325.83,483.641,2084.574,819.825,575.25,139.5788
30/04/2011,1363.61,489.437,2119.971,832.286,569.61,139.6878
31/05/2011,1345.2,497.289,2150.32,836.356,564.53,139.8169
30/06/2011,1320.64,495.627,2132.413,827.955,550.3,139.9461
31/07/2011,1292.28,504.994,2181.338,838.184,554.05,140.0624
31/08/2011,1218.89,519.288,2183.582,804.597,544.28,140.1783
30/09/2011,1131.42,527.824,2180.663,775.674,503.56,140.2927
31/10/2011,1253.3,523.561,2218.918,821.871,510.23,140.4136
30/11/2011,1246.96,527.373,2177.509,803.695,490,140.506
31/12/2011,1257.61,532.622,2219.453,823.616,482.01,140.5788
31/01/2012,1312.41,535,2267.897,847.525,499,140.6302
29/02/2012,1365.68,531.083,2287.149,866.836,503.46,140.6717
31/03/2012,1408.47,525.652,2273.646,866.025,497.18,140.7136
30/04/2012,1397.91,533.692,2302.664,874.878,491.42,140.756
31/05/2012,1310.33,543.517,2315.989,864.316,472.32,140.7969
30/06/2012,1362.16,541.526,2327.546,881.894,475.58,140.8343
